station_id,estimated_capacity
30200,64
30201,40
31000,20
31001,12
31002,28
31003,26
31004,14
31005,38
31006,32
31006,32
31007,28
31009,20
31010,26
31011,24
31012,18
31013,18
31014,46
31014,46
31015,26
31015,26
31016,20
31017,20
31018,18
31019,22
31020,22
31021,20
31022,24
31023,22
31024,20
31025,14
31026,26
31027,22
31027,22
31028,16
31029,26
31030,16
31030,16
31031,18
31032,24
31033,14
31034,18
31035,14
31036,18
31037,24
31038,14
31039,20
31040,22
31040,22
31041,36
31042,32
31043,14
31043,14
31043,14
31044,26
31045,18
31046,14
31047,30
31047,30
31048,16
31049,16
31049,16
31050,14
31051,14
31051,14
31052,22
31053,12
31054,12
31054,12
31055,16
31056,16
31056,16
31057,16
31057,16
31058,16
31058,16
31059,16
31059,16
31060,28
31061,18
31061,18
31062,84
31063,14
31063,14
31064,56
31065,14
31065,14
31066,18
31067,14
31068,40
31069,18
31069,18
31070,12
31071,28
31072,10
31073,22
31074,20
31075,16
31076,16
31076,16
31077,52
31078,18
31079,12
31079,12
31080,26
31080,26
31081,16
31082,16
31083,16
31084,14
31085,12
31086,16
31087,20
31088,18
31089,70
31090,26
31091,20
31092,12
31092,12
31093,16
31094,18
31094,18
31094,18
31095,10
31096,12
31096,12
31097,18
31098,20
31099,14
31100,34
31101,68
31102,46
31103,56
31103,56
31104,44
31105,32
31106,30
31107,38
31108,60
31109,32
31109,32
31110,36
31111,30
31112,28
31113,36
31114,50
31115,36
31116,44
31117,40
31117,40
31118,46
31119,44
31120,34
31120,34
31121,32
31122,26
31123,32
31124,58
31125,52
31126,38
31127,36
31128,52
31129,72
31130,36
31131,32
31132,40
31133,34
31134,36
31135,34
31136,30
31137,26
31138,20
31200,96
31201,64
31202,50
31203,58
31203,58
31204,34
31205,60
31206,28
31207,26
31207,26
31208,38
31209,84
31209,84
31210,52
31211,42
31212,40
31212,40
31213,72
31214,50
31215,50
31216,48
31217,72
31218,44
31219,80
31220,38
31220,38
31220,38
31221,44
31222,64
31222,64
31223,42
31224,52
31225,54
31226,28
31227,60
31228,54
31229,74
31230,76
31231,58
31231,58
31232,54
31233,70
31234,48
31235,106
31236,50
31237,42
31238,54
31239,42
31240,108
31241,92
31242,58
31243,90
31244,40
31245,38
31246,54
31247,154
31248,96
31249,136
31250,42
31251,46
31252,36
31253,60
31253,60
31254,42
31255,32
31256,44
31257,38
31258,156
31259,32
31260,34
31261,38
31261,38
31262,40
31263,40
31264,50
31265,42
31266,50
31267,48
31268,42
31269,44
31270,50
31271,94
31272,66
31273,60
31274,54
31275,48
31276,144
31277,60
31278,44
31279,44
31280,40
31281,50
31282,48
31283,64
31284,58
31285,38
31286,38
31287,46
31288,114
31289,94
31290,110
31291,70
31292,110
31293,44
31293,44
31294,32
31295,52
31296,44
31297,32
31298,68
31299,42
31300,32
31301,16
31302,26
31303,26
31304,28
31305,26
31305,26
31306,30
31307,22
31308,18
31309,14
31310,18
31311,50
31312,42
31313,28
31314,56
31315,18
31316,18
31317,22
31318,30
31319,16
31320,24
31321,90
31322,16
31323,44
31324,50
31325,34
31326,24
31327,50
31328,40
31329,10
31330,48
31331,14
31331,14
31332,38
31332,38
31333,18
31334,12
31335,36
31336,32
31337,30
31338,18
31339,28
31339,28
31380,10
31380,10
31381,8
31383,16
31385,10
31386,8
31387,6
31389,8
31390,12
31391,12
31392,12
31393,14
31394,12
31395,14
31396,8
31397,4
31398,6
31399,8
31400,38
31401,26
31401,26
31402,18
31403,20
31404,30
31405,20
31406,22
31407,28
31408,18
31411,16
31412,16
31413,22
31414,14
31415,18
31416,16
31416,16
31417,26
31418,16
31419,32
31420,16
31421,36
31422,18
31422,18
31423,10
31424,14
31425,12
31426,26
31427,6
31428,8
31500,20
31501,14
31502,18
31502,18
31503,30
31504,28
31505,46
31506,32
31507,20
31508,18
31509,30
31510,18
31511,20
31512,24
31513,22
31514,18
31515,38
31516,28
31517,52
31518,28
31519,26
31520,44
31521,14
31522,26
31523,20
31524,18
31525,90
31526,18
31527,28
31528,36
31528,36
31529,20
31530,18
31531,56
31532,50
31533,68
31534,22
31535,14
31535,14
31536,32
31537,10
31538,16
31539,8
31540,26
31541,20
31542,14
31543,10
31544,6
31545,8
31546,10
31600,68
31601,90
31602,50
31603,56
31604,38
31605,32
31606,30
31607,26
31608,26
31609,58
31610,44
31611,56
31612,50
31613,60
31613,60
31614,30
31615,52
31616,48
31617,20
31618,28
31619,40
31620,60
31621,30
31622,34
31623,92
31624,40
31625,42
31626,20
31627,56
31627,56
31628,56
31628,56
31629,26
31630,24
31631,44
31632,22
31633,44
31634,42
31635,20
31636,30
31637,34
31638,38
31639,42
31640,38
31641,52
31642,34
31642,34
31643,42
31644,24
31645,32
31646,84
31647,30
31648,108
31649,26
31650,68
31651,32
31652,42
31653,54
31654,36
31655,62
31656,18
31657,34
31658,16
31659,28
31660,28
31660,28
31661,30
31662,46
31662,46
31663,40
31664,32
31665,32
31666,40
31666,40
31667,36
31667,36
31668,42
31669,44
31669,44
31670,36
31671,6
31672,36
31673,34
31674,40
31675,24
31676,30
31677,24
31678,32
31700,8
31700,8
31701,8
31702,10
31703,14
31704,10
31705,8
31706,8
31707,12
31708,26
31710,10
31711,12
31712,34
31713,12
31714,12
31715,10
31716,40
31717,18
31717,18
31718,12
31719,16
31720,26
31720,26
31721,16
31722,4
31723,8
31724,4
31725,14
31726,12
31726,12
31727,30
31728,4
31799,8
31800,14
31801,12
31802,20
31802,20
31803,16
31803,16
31804,12
31805,16
31806,8
31807,10
31811,14
31812,16
31813,8
31814,12
31815,12
31816,22
31817,12
31818,12
31819,8
31820,34
31822,8
31823,6
31824,18
31825,12
31826,12
31827,12
31828,42
31829,6
31830,8
31831,6
31900,14
31900,14
31901,18
31902,16
31903,20
31904,16
31905,18
31906,10
31907,30
31908,8
31908,8
31908,8
31909,16
31910,14
31912,16
31913,14
31914,10
31915,18
31916,22
31917,30
31918,30
31919,14
31920,16
31921,18
31923,14
31923,14
31923,14
31924,16
31925,12
