station_id,cluster_label
30200,4
30201,4
31000,3
31001,0
31002,3
31003,3
31004,0
31005,2
31006,3
31007,2
31009,0
31010,0
31011,3
31012,0
31013,3
31014,2
31015,3
31016,3
31017,3
31018,3
31019,3
31020,3
31021,3
31022,2
31023,3
31024,3
31025,3
31026,3
31027,3
31028,3
31029,0
31030,3
31031,3
31032,3
31033,0
31034,3
31035,3
31036,3
31037,2
31038,3
31039,3
31040,3
31041,2
31042,3
31043,0
31044,3
31045,0
31046,3
31047,3
31048,0
31049,3
31050,0
31051,3
31052,3
31053,3
31054,3
31055,3
31056,3
31057,0
31058,0
31059,3
31060,0
31061,0
31062,4
31063,3
31064,4
31065,3
31066,3
31067,3
31068,3
31069,0
31070,0
31071,2
31072,0
31073,3
31074,3
31075,0
31076,3
31077,2
31078,0
31079,0
31080,0
31081,0
31082,3
31083,3
31084,0
31085,3
31086,0
31087,3
31088,3
31089,2
31090,3
31091,0
31092,0
31093,0
31094,0
31095,0
31096,0
31097,0
31098,3
31099,0
31100,2
31101,1
31102,4
31103,2
31104,4
31105,2
31106,2
31107,4
31108,4
31109,2
31110,2
31111,2
31112,2
31113,2
31114,4
31115,2
31116,4
31117,2
31118,2
31119,4
31120,2
31121,2
31122,2
31123,2
31124,4
31125,4
31126,2
31127,2
31128,4
31129,4
31130,2
31131,2
31132,2
31133,2
31134,2
31135,2
31136,2
31137,0
31138,0
31200,1
31201,1
31202,4
31203,4
31204,2
31205,4
31206,0
31207,3
31208,2
31209,4
31210,2
31211,2
31212,4
31213,4
31214,4
31215,4
31216,2
31217,2
31218,2
31219,4
31220,2
31221,2
31222,4
31223,4
31224,2
31225,4
31226,2
31227,2
31228,4
31229,1
31230,4
31231,4
31232,4
31233,4
31234,4
31235,4
31236,4
31237,4
31238,2
31239,2
31240,4
31241,4
31242,2
31243,4
31244,2
31245,2
31246,4
31247,1
31248,1
31249,1
31250,2
31251,2
31252,2
31253,2
31254,2
31255,2
31256,4
31257,4
31258,1
31259,2
31260,2
31261,2
31262,2
31263,2
31264,2
31265,4
31266,4
31267,2
31268,2
31269,4
31270,2
31271,4
31272,4
31273,4
31274,2
31275,4
31276,4
31277,4
31278,4
31279,2
31280,2
31281,4
31282,2
31283,2
31284,2
31285,4
31286,2
31287,4
31288,1
31289,1
31290,1
31291,4
31292,4
31293,2
31294,2
31295,4
31296,4
31297,2
31298,2
31299,4
31300,3
31301,3
31302,3
31303,3
31304,3
31305,3
31306,2
31307,3
31308,3
31309,3
31310,3
31311,4
31312,4
31313,3
31314,4
31315,3
31316,3
31317,3
31318,3
31319,3
31320,3
31321,1
31322,3
31323,2
31324,4
31325,2
31326,0
31327,4
31328,4
31329,0
31330,4
31331,0
31332,2
31333,3
31334,0
31335,2
31336,4
31337,3
31338,3
31339,2
31380,0
31381,0
31383,3
31385,3
31386,0
31387,3
31389,3
31390,0
31391,0
31392,0
31393,0
31394,3
31395,0
31396,0
31397,0
31398,0
31399,0
31400,2
31401,2
31402,0
31403,0
31404,3
31405,3
31406,3
31407,3
31408,3
31411,3
31412,3
31413,3
31414,3
31415,3
31416,3
31417,0
31418,0
31419,2
31420,3
31421,0
31422,3
31423,0
31424,0
31425,0
31426,0
31427,0
31428,3
31500,3
31501,3
31502,3
31503,2
31504,3
31505,4
31506,4
31507,3
31508,3
31509,2
31510,3
31511,0
31512,0
31513,0
31514,0
31515,3
31516,3
31517,2
31518,2
31519,2
31520,2
31521,3
31522,3
31523,0
31524,0
31525,0
31526,3
31527,2
31528,3
31529,0
31530,3
31531,4
31532,4
31533,4
31534,3
31535,3
31536,2
31537,0
31538,0
31539,3
31540,2
31541,3
31542,0
31543,0
31544,3
31545,0
31546,0
31600,1
31601,3
31602,4
31603,1
31604,2
31605,2
31606,2
31607,3
31608,3
31609,4
31610,4
31611,2
31612,2
31613,1
31614,3
31615,4
31616,4
31617,3
31618,2
31619,2
31620,2
31621,2
31622,2
31623,1
31624,2
31625,2
31626,2
31627,4
31628,4
31629,3
31630,2
31631,2
31632,0
31633,2
31634,2
31635,3
31636,2
31637,3
31638,2
31639,2
31640,2
31641,4
31642,2
31643,2
31644,3
31645,2
31646,4
31647,2
31648,2
31649,2
31650,4
31651,2
31652,2
31653,4
31654,3
31655,4
31656,0
31657,2
31658,0
31659,2
31660,0
31661,2
31662,4
31663,2
31664,0
31665,3
31666,2
31667,3
31668,2
31669,2
31670,2
31671,0
31672,2
31673,3
31674,2
31675,3
31676,3
31677,2
31678,0
31700,0
31701,3
31702,3
31703,0
31704,0
31705,0
31706,0
31707,3
31708,3
31710,0
31711,0
31712,0
31713,3
31714,3
31715,0
31716,3
31717,3
31718,0
31719,3
31720,3
31721,0
31722,3
31723,3
31724,0
31725,0
31726,3
31727,3
31728,0
31799,0
31800,3
31801,0
31802,3
31803,3
31804,0
31805,0
31806,3
31807,3
31811,0
31812,3
31813,0
31814,3
31815,0
31816,3
31817,3
31818,3
31819,0
31820,2
31822,0
31823,0
31824,3
31825,0
31826,3
31827,3
31828,4
31829,0
31830,0
31831,0
31900,3
31901,3
31902,0
31903,3
31904,3
31905,0
31906,3
31907,3
31908,0
31909,0
31910,0
31912,0
31913,3
31914,0
31915,0
31916,3
31917,3
31918,0
31919,0
31920,3
31921,0
31923,3
31924,3
31925,0
31926,3
31927,3
31928,3
31929,3
31930,0
31931,3
31932,3
31933,0
31935,3
31936,3
31937,0
31938,0
31939,3
31940,3
31941,3
31942,0
31943,0
31944,3
31945,0
31946,0
31947,2
31948,0
31949,0
31950,0
31951,0
31952,3
31953,3
31954,0
31955,3
31956,0
31957,0
31958,0
31959,3
31960,3
31961,3
31962,3
31963,3
31964,0
31966,3
31967,0
31968,3
31969,3
31970,0
31971,3
31972,0
31973,0
31974,0
31976,0
31977,0
31978,4
31979,3
31980,3
31981,3
32000,3
32001,0
32002,3
32003,3
32004,3
32005,0
32006,3
32007,3
32008,0
32009,0
32010,3
32011,3
32012,3
32013,0
32014,3
32015,3
32016,0
32017,0
32018,3
32019,3
32020,3
32021,0
32022,0
32023,3
32024,3
32025,0
32026,0
32027,3
32028,3
32029,3
32030,3
32032,0
32033,3
32034,3
32035,3
32036,0
32037,0
32038,0
32039,3
32040,3
32041,0
32042,0
32043,0
32044,0
32045,0
32046,3
32047,0
32048,0
32049,3
32050,3
32051,3
32052,0
32053,3
32054,0
32055,3
32056,0
32057,3
32058,0
32059,3
32061,0
32062,3
32063,3
32064,3
32065,3
32066,3
32067,3
32068,3
32069,3
32070,0
32071,0
32072,3
32073,3
32074,0
32075,0
32076,0
32077,0
32078,0
32079,3
32080,0
32081,0
32082,0
32083,0
32084,3
32085,0
32086,0
32087,3
32088,0
32089,3
32090,0
32091,3
32092,3
32093,0
